date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:48	21245/21245	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:43%20GMT	http://first7.com.br/software	C:/First7_Site/first7/first7.com.br/software.html	(from http://first7.com.br/)
10:50:48	21992/21992	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:44%20GMT	http://first7.com.br/clientes	C:/First7_Site/first7/first7.com.br/clientes.html	(from http://first7.com.br/)
10:50:49	17752/17752	---M--	200	added ('OK')	text/html	date:Fri,%2025%20May%202018%2013:50:45%20GMT	http://first7.com.br/contato	C:/First7_Site/first7/first7.com.br/contato.html	(from http://first7.com.br/)
10:50:49	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	C:/First7_Site/first7/www.google-analytics.com/analytics.js	(from http://first7.com.br/)
10:50:49	31760/31760	---M--	200	added ('OK')	%c8%0d%eb%07%d8%b9%82%02%c8%0d%eb%07	etag:%224395e47aee9c51253dfe19d8fe4f4e59%22	https://yata.ostr.locaweb.com.br/db835cebf6f48d22ed705c3c48e4e0b9675d4c010fe224af52d5f0b00217b27a	C:/First7_Site/first7/yata.ostr.locaweb.com.br/db835cebf6f48d22ed705c3c48e4e0b9675d4c010fe224af52d5f0b00217b27a	(from http://first7.com.br/)
10:50:49	5269/5269	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2219062ee8dc01827dcc18c943819ad8c1%22	https://yata.ostr.locaweb.com.br/3a817cdc214b97971beacd2ceb9b2786e0c654f55aef32ba778696dcd40169be	C:/First7_Site/first7/yata.ostr.locaweb.com.br/3a817cdc214b97971beacd2ceb9b2786e0c654f55aef32ba778696dcd40169be	(from http://first7.com.br/)
10:50:50	10352/10352	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2269709c64ee903e2584c8bd903761db8e%22	https://yata.ostr.locaweb.com.br/d0173f3e9b3be7b1fd946d393248bf608bd014a8ff0556cc2bd1e27900a85649	C:/First7_Site/first7/yata.ostr.locaweb.com.br/d0173f3e9b3be7b1fd946d393248bf608bd014a8ff0556cc2bd1e27900a85649	(from http://first7.com.br/)
10:50:50	3990/3990	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%226ff03c002a4aa2562430dd288972e98f%22	https://yata.ostr.locaweb.com.br/ac3ffa93223f32da54f86016139ad8343c5f1b2685a9885227ff75893b616ff8	C:/First7_Site/first7/yata.ostr.locaweb.com.br/ac3ffa93223f32da54f86016139ad8343c5f1b2685a9885227ff75893b616ff8	(from http://first7.com.br/)
10:50:50	4062/4062	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%223bfe7e5e8d473a56b7235b6652448422%22	https://yata.ostr.locaweb.com.br/3c214722d0485399157e30f2b9c23284a530bc051ef0acf853475932e466da57	C:/First7_Site/first7/yata.ostr.locaweb.com.br/3c214722d0485399157e30f2b9c23284a530bc051ef0acf853475932e466da57	(from http://first7.com.br/)
10:50:51	75/75	---M--	404	error ('Not%20Found')	application/xml	date:Fri,%2025%20May%202018%2013:50:52%20GMT	https://yata.ostr.locaweb.com.br/robots.txt		(from http://first7.com.br/)
10:50:52	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2025%20May%202018%2013:50:48%20GMT	http://fonts.googleapis.com/robots.txt		(from http://first7.com.br/)
10:50:52	23/23	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20May%202018%2013:50:48%20GMT	http://first7.com.br/assets/owl.video.play.png	C:/First7_Site/first7/first7.com.br/assets/owl.video.play.16.delayed	(from http://first7.com.br/assets/criadordesites.css?ba39cff0-d458-49e1-9ba0-0a4dd519cd04)
10:50:53	73849/73849	---M--	200	added ('OK')	text/css	date:Fri,%2025%20May%202018%2013:50:49%20GMT	http://first7.com.br/assets/criadordesites.css?9320eadc-79df-4044-851c-381a80a9ce20	C:/First7_Site/first7/first7.com.br/assets/criadordesitesdc2f.css	(from http://first7.com.br/empresa)
10:51:05	65346/65346	---M--	200	added ('OK')	%c8%0d%eb%07%80%b8%82%02%c8%0d%eb%07	etag:%226ee6e1279a50fb66114abd622f862239%22	https://yata.ostr.locaweb.com.br/cfd0490a86a33e9a26f3885bbd42cc6c6eb419d5848e7ad1b66f0b63ad933b6c	C:/First7_Site/first7/yata.ostr.locaweb.com.br/cfd0490a86a33e9a26f3885bbd42cc6c6eb419d5848e7ad1b66f0b63ad933b6c	(from http://first7.com.br/solucoes)
